"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-12","0.00",,,"39","42","36","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-13","0.01",,,"40","48","32",,,,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-14","0.50",,,"39","42","36","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-15","0.01",,,"43","47","38",,,,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-16","0.00",,,"41","46","35","    1",,,,,,,,,,"    1",,,,,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-17","0.00",,,"40","48","31","    1",,,,,,,,,,"    1",,,,,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-18","0.00",,,"40","49","31","    1",,,,,,,,,,"    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-19","0.00",,,"43","55","31","    1",,,,,,,,,,,,,,,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-20","0.00",,,"48","58","37",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-21","0.19",,,"46","48","43","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-22","0.61",,,"44","49","39","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-23","0.00",,,"44","49","38",,,,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-24","0.00",,,"41","47","34","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-25","0.27",,,"41","49","33","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-26","0.25",,,"45","50","39","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-27","0.17",,,"47","52","42","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-28","0.11",,,"45","48","41","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-02-29","0.64",,,"47","52","42","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-01","0.00",,,"44","48","39",,,,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-02","0.37",,,"47","51","42","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-03","0.34",,,"46","48","44","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-04","0.39",,,"40","44","36","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-05","0.00",,,"40","46","34","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-06","0.00",,,"40","47","32","    1","    1",,,,,,,,,"    1",,,,,,,,
